sdv_user_id,Timestamp,steps,steps_goal,avg_heart_rate,max_heart_rate,minutes_moderate,minutes_vigorous,weight_kg,activity_label
1001,2023-01-01 00:00:00,26971,11328,77.1,127,105,65,119.4,over_exercise
1001,2023-01-02 00:00:00,18270,9008,76.1,131,110,25,119.4,energetic
1001,2023-01-03 00:00:00,14141,10292,75.5,112,135,0,119.3,energetic
1001,2023-01-04 00:00:00,22327,11820,77.1,122,195,15,119.3,energetic
1001,2023-01-05 00:00:00,28390,11689,76.9,125,70,70,119.2,over_exercise
1001,2023-01-06 00:00:00,19774,8057,76.5,127,145,25,119.3,energetic
1001,2023-01-07 00:00:00,26169,10701,77.5,125,110,55,119.2,over_exercise
1001,2023-01-08 00:00:00,14477,8626,75.5,121,125,5,119.4,energetic
1001,2023-01-09 00:00:00,17149,8454,75.9,125,135,20,119.2,energetic
1001,2023-01-10 00:00:00,26506,9248,77.0,132,105,60,119.1,over_exercise
1001,2023-01-11 00:00:00,20725,8023,76.5,129,130,25,119.1,energetic
1001,2023-01-12 00:00:00,29325,10340,77.8,129,95,80,119.4,over_exercise
1001,2023-01-13 00:00:00,42332,9622,78.4,127,120,65,118.8,over_exercise
1001,2023-01-14 00:00:00,28230,10550,77.9,124,140,45,118.9,over_exercise
1001,2023-01-15 00:00:00,19461,10287,76.5,125,160,15,119.0,energetic
1001,2023-01-16 00:00:00,29026,11886,77.9,129,165,40,119.0,over_exercise
1001,2023-01-17 00:00:00,19369,8498,76.4,127,145,15,118.8,energetic
1001,2023-01-18 00:00:00,21972,9811,77.1,127,150,25,118.8,energetic
1001,2023-01-19 00:00:00,26019,11336,76.9,126,90,60,118.8,over_exercise
1001,2023-01-20 00:00:00,20564,10145,77.1,121,180,10,118.7,energetic
1001,2023-01-21 00:00:00,13789,8024,75.6,116,130,0,118.6,energetic
1001,2023-01-22 00:00:00,27376,9669,77.5,127,135,40,118.7,over_exercise
1001,2023-01-23 00:00:00,29868,10002,77.4,128,120,65,118.7,over_exercise
1001,2023-01-24 00:00:00,13039,9171,75.5,104,135,0,118.7,energetic
1001,2023-01-25 00:00:00,38742,10357,79.2,128,165,70,118.6,over_exercise
1001,2023-01-26 00:00:00,10198,11954,75.0,115,100,0,118.8,healthy
1001,2023-01-27 00:00:00,40836,8991,79.0,127,115,100,118.5,over_exercise
1001,2023-01-28 00:00:00,13394,10076,75.4,122,120,10,118.4,energetic
1001,2023-01-29 00:00:00,16591,10306,75.7,118,150,0,118.6,energetic
1001,2023-01-30 00:00:00,11495,8509,75.1,115,100,0,118.6,healthy
1001,2023-01-31 00:00:00,19869,11950,76.6,124,145,15,118.5,energetic
1001,2023-02-01 00:00:00,18641,9981,76.2,123,110,20,118.4,energetic
1001,2023-02-02 00:00:00,28086,11881,77.9,127,185,40,118.4,over_exercise
1001,2023-02-03 00:00:00,19902,8444,76.7,121,145,10,118.3,energetic
1001,2023-02-04 00:00:00,23734,9000,76.9,126,120,40,118.4,over_exercise
1001,2023-02-05 00:00:00,18860,8674,76.5,117,205,0,118.5,energetic
1001,2023-02-06 00:00:00,36809,10388,78.1,128,90,110,118.4,over_exercise
1001,2023-02-07 00:00:00,21647,8886,76.7,123,135,30,118.3,energetic
1001,2023-02-08 00:00:00,27267,10885,77.6,125,120,60,118.5,over_exercise
1001,2023-02-09 00:00:00,19117,11938,76.2,124,155,10,118.3,energetic
1001,2023-02-10 00:00:00,7826,9960,74.3,104,75,0,118.2,healthy
1001,2023-02-11 00:00:00,67445,11922,80.4,128,80,170,118.2,over_exercise
1001,2023-02-12 00:00:00,26696,11113,77.8,125,155,40,118.3,over_exercise
1001,2023-02-13 00:00:00,20002,8464,76.7,125,165,20,118.4,energetic
1001,2023-02-14 00:00:00,15422,11236,76.0,120,140,5,118.1,energetic
1001,2023-02-15 00:00:00,32500,11351,78.4,128,150,70,118.0,over_exercise
1001,2023-02-16 00:00:00,36038,11949,77.9,129,85,100,118.1,over_exercise
1001,2023-02-17 00:00:00,19369,8908,76.4,133,135,30,117.9,energetic
1001,2023-02-18 00:00:00,20486,10847,77.0,128,120,30,117.9,energetic
1001,2023-02-19 00:00:00,19126,9480,76.3,125,170,5,118.0,energetic
1001,2023-02-20 00:00:00,12918,8687,75.3,115,130,0,117.8,energetic
1001,2023-02-21 00:00:00,22258,9143,77.0,128,105,40,117.9,over_exercise
1001,2023-02-22 00:00:00,20098,8623,76.6,116,180,0,117.8,energetic
1001,2023-02-23 00:00:00,22977,8891,77.4,125,180,20,117.9,energetic
1001,2023-02-24 00:00:00,36453,11141,78.4,128,90,90,117.9,over_exercise
1001,2023-02-25 00:00:00,28779,11806,77.4,128,120,65,117.9,over_exercise
1001,2023-02-26 00:00:00,17877,8091,76.1,127,95,30,117.8,energetic
1001,2023-02-27 00:00:00,30059,10945,77.4,126,115,65,117.7,over_exercise
1001,2023-02-28 00:00:00,15555,8733,75.9,121,130,10,117.6,energetic
1001,2023-03-01 00:00:00,13443,9079,75.2,117,125,0,117.7,energetic
1001,2023-03-02 00:00:00,21028,9093,76.7,128,175,15,117.7,energetic
1001,2023-03-03 00:00:00,16574,9588,75.6,118,145,0,117.7,energetic
1001,2023-03-04 00:00:00,17644,8187,76.0,126,160,10,117.6,energetic
1001,2023-03-05 00:00:00,34584,11050,78.3,127,120,80,117.5,over_exercise
1001,2023-03-06 00:00:00,20269,9458,76.4,125,95,45,117.6,over_exercise
1001,2023-03-07 00:00:00,37900,9809,79.0,128,150,95,117.6,over_exercise
1001,2023-03-08 00:00:00,17834,8119,76.3,128,130,20,117.5,energetic
1001,2023-03-09 00:00:00,27460,9744,77.4,125,145,35,117.7,over_exercise
1001,2023-03-10 00:00:00,22784,8372,76.7,126,135,30,117.4,energetic
1001,2023-03-11 00:00:00,27124,9961,77.3,128,80,75,117.4,over_exercise
1001,2023-03-12 00:00:00,24647,10742,76.9,127,120,45,117.3,over_exercise
1001,2023-03-13 00:00:00,18809,11744,76.2,122,155,10,117.1,energetic
1001,2023-03-14 00:00:00,17181,11162,75.8,129,115,20,117.3,energetic
1001,2023-03-15 00:00:00,21490,11895,76.5,124,130,35,117.2,over_exercise
1001,2023-03-16 00:00:00,16963,8455,76.0,124,160,5,117.3,energetic
1001,2023-03-17 00:00:00,22573,11329,76.4,124,125,45,117.3,over_exercise
1001,2023-03-18 00:00:00,34339,11477,77.8,128,135,65,117.3,over_exercise
1001,2023-03-19 00:00:00,37473,9395,78.0,131,100,85,117.1,over_exercise
1001,2023-03-20 00:00:00,19589,9073,76.1,126,160,10,117.1,energetic
1001,2023-03-21 00:00:00,34108,11633,78.6,125,130,70,117.1,over_exercise
1001,2023-03-22 00:00:00,23501,10938,77.2,125,160,35,117.1,over_exercise
1001,2023-03-23 00:00:00,30689,11344,78.1,131,170,50,116.9,over_exercise
1001,2023-03-24 00:00:00,36734,10060,78.0,130,85,90,117.0,over_exercise
1001,2023-03-25 00:00:00,14620,8589,75.6,115,120,0,116.9,energetic
1001,2023-03-26 00:00:00,28942,10796,77.4,127,100,65,116.8,over_exercise
1001,2023-03-27 00:00:00,32168,9617,77.7,130,115,70,117.0,over_exercise
1001,2023-03-28 00:00:00,29773,9170,77.7,128,150,55,116.9,over_exercise
1001,2023-03-29 00:00:00,15176,8695,75.9,122,135,10,117.0,energetic
1001,2023-03-30 00:00:00,27635,8123,77.9,127,140,50,116.8,over_exercise
1001,2023-03-31 00:00:00,35501,10600,78.2,127,125,80,116.8,over_exercise
1001,2023-04-01 00:00:00,18831,11545,75.7,127,125,15,116.8,energetic
1001,2023-04-02 00:00:00,20135,10669,76.5,125,150,15,116.7,energetic
1001,2023-04-03 00:00:00,18189,9214,76.1,124,150,15,116.6,energetic
1001,2023-04-04 00:00:00,15358,10492,75.6,128,115,15,116.9,energetic
1001,2023-04-05 00:00:00,32413,8014,77.8,126,120,70,116.6,over_exercise
1001,2023-04-06 00:00:00,19566,8186,76.5,122,175,10,116.5,energetic
1001,2023-04-07 00:00:00,42816,11297,78.8,129,105,115,116.5,over_exercise
1001,2023-04-08 00:00:00,23793,10753,77.2,124,170,30,116.5,energetic
1001,2023-04-09 00:00:00,22140,10249,77.0,125,180,15,116.6,energetic
1001,2023-04-10 00:00:00,28660,10164,77.7,127,145,55,116.5,over_exercise
